P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.14,1217.77,271.59,0.5065242135661725,0.9964432860212545,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.62,1227.35,302.5,0.44952110198001705,0.9750781945262913,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.17,1243.38,283.24,0.5168506973362252,1.0135423615097428,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.1,1262.79,297.35,0.5122524371870653,1.0202407270559286,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.75,1229.68,275.64,0.48122455144314963,0.9726923184007613,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.48,1235.59,301.39,0.39047566621746904,0.9224919284640705,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.0,1223.02,261.84,0.5007856905411848,0.9867029504309711,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.64,1216.31,310.66,0.44956349796071143,0.9751425889177752,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.8,1253.87,285.35,0.4950728335241102,0.9816071904226665,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.87,1245.83,320.37,0.490338641040265,0.9840081440859638,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.0,1243.27,312.15,0.49991927091306,0.9998537337387947,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.17,1234.92,300.51,0.5054748114969639,1.008825633378291,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.48,1241.69,306.05,0.39452800263262133,0.9216108640871877,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.75,1254.55,311.13,0.48109891163143786,0.9775217680761363,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.81,1244.75,314.97,0.48455911162791393,0.9801726132734221,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.66,1250.33,304.29,0.46731181109148484,0.9768076533610623,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.54,1232.41,313.07,0.42053556658542307,0.9392194185418852,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.72,1257.99,315.6,0.47824920412290317,0.9751613768485302,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.09,1225.09,293.75,0.5005752145736793,0.9970787556426831,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.61,1255.86,295.34,0.46129121476607765,0.987873035645533,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.0,1217.55,282.19,0.498642127929022,0.98378180575439,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.61,1214.04,296.5,0.4378565708830755,0.9585780636978461,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.94,1246.51,288.9,0.5044023233167162,0.9947857603664276,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.24,1223.68,280.76,0.5124596192553396,1.0063618091610456,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.21,1251.54,294.58,0.5128195556636738,1.0209627519407585,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.08,1231.63,273.94,0.5088323697606267,1.000306386188697,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.93,1252.69,266.79,0.507100859556432,0.9974073112655264,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.02,1239.2,308.76,0.49964824318348966,0.9994082524732216,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.7,1242.87,277.77,0.4793470766453365,0.974321372438087,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.98,1227.77,318.91,0.49250836333132625,0.9875168646465086,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.03,1260.8,298.45,0.5081288017876512,1.0130074250341494,
